layer,concept,feature_id,full_score,full_rank,resample_support,median_resample_rank,mean_resample_rank,resamples,top_features_per_resample
4,mathematics,4024,0.6576480110620663,22,0.3515625,11.0,11.844444444444445,128,20
4,mathematics,28089,0.1950282089227726,125,0.0078125,20.0,20.0,128,20
4,mathematics,31036,0.7441465221337897,18,0.5078125,9.0,9.615384615384615,128,20
4,mathematics,27325,0.6047260966629462,28,0.1640625,13.0,12.904761904761905,128,20
4,mathematics,8128,1.2234228988784843,2,1.0,3.0,3.4765625,128,20
4,mathematics,19265,0.5160223952105532,35,0.1796875,16.0,14.565217391304348,128,20
4,mathematics,8262,0.48512998704213445,43,0.1171875,17.0,16.333333333333332,128,20
4,mathematics,13511,0.5074002694422509,37,0.09375,16.0,15.416666666666666,128,20
4,mathematics,7622,0.3179694825785518,74,0.0078125,18.0,18.0,128,20
4,mathematics,5833,0.9201926842521674,7,0.8671875,9.0,9.135135135135135,128,20
4,mathematics,24776,0.3084584558753556,79,0.0546875,13.0,13.857142857142858,128,20
4,mathematics,25674,0.32215900393431673,72,0.0625,10.5,12.25,128,20
4,mathematics,25803,0.41390331361887106,56,0.0234375,18.0,16.333333333333332,128,20
4,mathematics,20048,0.8821823301342548,10,0.9609375,10.0,10.821138211382113,128,20
4,mathematics,1106,0.43613840932268727,49,0.03125,15.5,15.5,128,20
4,mathematics,25941,0.8454352069672656,12,0.890625,13.0,12.75438596491228,128,20
4,mathematics,5717,0.7613957635000321,16,0.734375,16.0,15.404255319148936,128,20
4,mathematics,1622,0.627515873377927,26,0.09375,19.0,18.416666666666668,128,20
4,mathematics,3800,0.7050404036577275,19,0.4921875,14.0,13.444444444444445,128,20
4,mathematics,23642,0.5191409385402351,34,0.125,16.0,15.3125,128,20
4,mathematics,10462,0.3741693588487219,64,0.0234375,20.0,17.333333333333332,128,20
4,mathematics,9695,0.5625770439694244,31,0.140625,19.0,17.333333333333332,128,20
4,mathematics,19936,0.9298250826700756,6,0.9921875,9.0,9.614173228346457,128,20
4,mathematics,3169,0.6525688573742344,23,0.3125,13.5,13.625,128,20
4,mathematics,4194,0.9948850523705837,4,1.0,6.0,7.1796875,128,20
4,mathematics,20961,0.4331754916897083,51,0.03125,17.5,17.5,128,20
4,mathematics,13411,0.4894881689495979,40,0.0,nan,nan,128,20
4,mathematics,358,0.41772275438246154,54,0.03125,17.5,17.75,128,20
4,mathematics,30312,0.5711621415078556,30,0.1484375,16.0,14.736842105263158,128,20
4,mathematics,9064,0.4992789236407587,38,0.1015625,17.0,16.46153846153846,128,20
4,mathematics,7150,0.6607342818381436,21,0.3203125,13.0,13.341463414634147,128,20
4,mathematics,27123,0.8958861555635873,9,0.921875,10.0,9.974576271186441,128,20
4,mathematics,887,0.4428484457378463,47,0.03125,16.5,16.25,128,20
4,mathematics,20474,0.4981224771077657,39,0.015625,16.0,16.0,128,20
4,mathematics,6267,0.7510274836957284,17,0.703125,16.0,15.722222222222221,128,20
4,negative_sentiment,28169,0.34694217192366594,30,0.2421875,16.0,15.064516129032258,128,20
4,negative_sentiment,12,0.06193098125210743,201,0.0078125,19.0,19.0,128,20
4,negative_sentiment,23065,0.16742770567537762,82,0.0390625,14.0,14.0,128,20
4,negative_sentiment,23583,0.22568406397657176,60,0.078125,16.0,14.8,128,20
4,negative_sentiment,10274,0.34734902790934336,29,0.25,16.5,15.71875,128,20
4,negative_sentiment,23077,0.2671243835785901,40,0.0625,16.0,15.125,128,20
4,negative_sentiment,22059,0.48599702750057727,11,0.703125,12.0,12.122222222222222,128,20
4,negative_sentiment,5677,0.3522728404535634,28,0.1171875,18.0,17.866666666666667,128,20
4,negative_sentiment,17455,0.47140735467860734,13,0.625,11.0,11.625,128,20
4,negative_sentiment,2097,0.12173995094067891,108,0.0078125,18.0,18.0,128,20
4,negative_sentiment,22583,0.29610011475216763,36,0.09375,18.0,17.416666666666668,128,20
4,negative_sentiment,3653,0.262928650929832,44,0.03125,16.5,16.0,128,20
4,negative_sentiment,4681,0.13428393839416397,103,0.0078125,12.0,12.0,128,20
4,negative_sentiment,12876,0.20820873073551768,66,0.046875,14.5,14.166666666666666,128,20
4,negative_sentiment,15444,0.31737460218557306,34,0.234375,15.0,14.4,128,20
4,negative_sentiment,8295,0.49865061064145433,8,0.6953125,10.0,10.719101123595506,128,20
4,negative_sentiment,27753,0.3428692234564109,31,0.3125,12.5,12.575,128,20
4,negative_sentiment,25201,0.49637954108607296,9,0.6640625,11.0,11.129411764705882,128,20
4,negative_sentiment,19570,0.07795544533914793,158,0.0078125,15.0,15.0,128,20
4,negative_sentiment,30847,0.35919706965560644,26,0.2421875,15.0,14.774193548387096,128,20
4,negative_sentiment,17032,0.12029462727735686,109,0.0078125,18.0,18.0,128,20
4,negative_sentiment,24205,0.16187714966620864,88,0.0078125,17.0,17.0,128,20
4,negative_sentiment,5779,0.25814548557267886,47,0.0390625,15.0,16.4,128,20
4,negative_sentiment,13463,0.4829742440822989,12,0.6328125,11.0,11.407407407407407,128,20
4,negative_sentiment,19620,0.23637566219963033,58,0.1015625,12.0,11.23076923076923,128,20
4,negative_sentiment,30373,0.263638358800649,43,0.0390625,13.0,12.8,128,20
